,Topics,Alpha,Beta,Coherence,Topic Diversity
328,11,asymmetric,0.9099999999999999,0.42384202771904905,0.9363636363636364
318,11,0.9099999999999999,0.9099999999999999,0.4269144818620974,0.9363636363636364
306,11,0.31,0.31,0.42902913749201554,0.9363636363636364
326,11,asymmetric,0.31,0.40787758617510106,0.9363636363636364
316,11,0.9099999999999999,0.31,0.4299689897116459,0.9363636363636364
418,14,asymmetric,0.9099999999999999,0.43735908335733237,0.9357142857142857
396,14,0.31,0.31,0.43413085057422657,0.9357142857142857
397,14,0.31,0.61,0.4425525188001474,0.9357142857142857
405,14,0.9099999999999999,0.01,0.4401481349287121,0.9357142857142857
400,14,0.61,0.01,0.4205177832575733,0.9357142857142857
572,20,0.01,0.61,0.45217800150018406,0.935
592,20,symmetric,0.61,0.44802131020518254,0.935
249,9,0.31,symmetric,0.44180686149763604,0.9333333333333333
333,12,0.01,0.9099999999999999,0.44261549141868306,0.9333333333333333
347,12,0.9099999999999999,0.61,0.4166214195036842,0.9333333333333333
338,12,0.31,0.9099999999999999,0.41153633184449284,0.9333333333333333
512,18,0.01,0.61,0.44452638909460007,0.9333333333333333
349,12,0.9099999999999999,symmetric,0.44479235559265295,0.9333333333333333
243,9,0.01,0.9099999999999999,0.4213385165104668,0.9333333333333333
353,12,symmetric,0.9099999999999999,0.4492075301852254,0.9333333333333333
355,12,asymmetric,0.01,0.4470428413904563,0.9333333333333333
263,9,symmetric,0.9099999999999999,0.41701505623729807,0.9333333333333333
436,15,0.9099999999999999,0.31,0.4239382284710048,0.9333333333333333
268,9,asymmetric,0.9099999999999999,0.426678749971764,0.9333333333333333
358,12,asymmetric,0.9099999999999999,0.4563491900026526,0.9333333333333333
244,9,0.01,symmetric,0.43166325539046824,0.9333333333333333
374,13,0.61,symmetric,0.42695553318789925,0.9307692307692308
389,13,asymmetric,symmetric,0.43849573728050106,0.9307692307692308
380,13,symmetric,0.01,0.45890900731764195,0.9307692307692308
360,13,0.01,0.01,0.4539455504382544,0.9307692307692308
362,13,0.01,0.61,0.43650336676754625,0.9307692307692308
369,13,0.31,symmetric,0.4491771674756771,0.9307692307692308
387,13,asymmetric,0.61,0.4534430456086916,0.9307692307692308
276,10,0.31,0.31,0.4263637230189291,0.93
277,10,0.31,0.61,0.41345527202907884,0.93
293,10,symmetric,0.9099999999999999,0.43370188730825754,0.93
298,10,asymmetric,0.9099999999999999,0.4334914838165755,0.93
292,10,symmetric,0.61,0.40360951094886255,0.93
281,10,0.61,0.31,0.42550329973503365,0.93
283,10,0.61,0.9099999999999999,0.40875680784073465,0.93
291,10,symmetric,0.31,0.4304832565061811,0.93
290,10,symmetric,0.01,0.4056272175836659,0.93
275,10,0.31,0.01,0.41803315330854723,0.93
271,10,0.01,0.31,0.42475536477880665,0.93
490,17,0.61,0.01,0.44125124334749755,0.9294117647058824
493,17,0.61,0.9099999999999999,0.428064793651643,0.9294117647058824
498,17,0.9099999999999999,0.9099999999999999,0.4164394346451283,0.9294117647058824
495,17,0.9099999999999999,0.01,0.43658859641956627,0.9294117647058824
401,14,0.61,0.31,0.41808666605515293,0.9285714285714286
199,7,0.9099999999999999,symmetric,0.406377305037055,0.9285714285714286
197,7,0.9099999999999999,0.61,0.40105464601630436,0.9285714285714286
411,14,symmetric,0.31,0.44913947252137243,0.9285714285714286
415,14,asymmetric,0.01,0.4293307764723445,0.9285714285714286
412,14,symmetric,0.61,0.45311073996874107,0.9285714285714286
417,14,asymmetric,0.61,0.440888652383583,0.9285714285714286
196,7,0.9099999999999999,0.31,0.4070651739807424,0.9285714285714286
194,7,0.61,symmetric,0.3994133710676321,0.9285714285714286
191,7,0.61,0.31,0.4049898394451996,0.9285714285714286
188,7,0.31,0.9099999999999999,0.3947779023162438,0.9285714285714286
186,7,0.31,0.31,0.4046448090469484,0.9285714285714286
515,18,0.31,0.01,0.44585358357806865,0.9277777777777778
528,18,0.9099999999999999,0.9099999999999999,0.443068583839535,0.9277777777777778
317,11,0.9099999999999999,0.61,0.4404607958151762,0.9272727272727272
311,11,0.61,0.31,0.43268129286592116,0.9272727272727272
322,11,symmetric,0.61,0.43274448561541745,0.9272727272727272
323,11,symmetric,0.9099999999999999,0.444570729748717,0.9272727272727272
324,11,symmetric,symmetric,0.4193518080930435,0.9272727272727272
314,11,0.61,symmetric,0.4015606296056163,0.9272727272727272
312,11,0.61,0.61,0.43460202232712286,0.9272727272727272
434,15,0.61,symmetric,0.45276741260348374,0.9266666666666666
422,15,0.01,0.61,0.47449695473883063,0.9266666666666666
550,19,0.61,0.01,0.4367319278268575,0.9263157894736842
544,19,0.01,symmetric,0.4258676380449115,0.9263157894736842
223,8,0.61,0.9099999999999999,0.4346203681736008,0.925
337,12,0.31,0.61,0.4058038897721324,0.925
472,16,symmetric,0.61,0.40290460851716214,0.925
466,16,0.9099999999999999,0.31,0.4198537917452515,0.925
220,8,0.61,0.01,0.4166012724375191,0.925
457,16,0.31,0.61,0.4397694612653817,0.925
591,20,symmetric,0.31,0.4184626332422554,0.925
221,8,0.61,0.31,0.42960741718432804,0.925
341,12,0.61,0.31,0.4186752330402461,0.925
222,8,0.61,0.61,0.4386486455794341,0.925
477,16,asymmetric,0.61,0.4176525193388107,0.925
462,16,0.61,0.61,0.447639160263168,0.925
574,20,0.01,symmetric,0.4159758755773496,0.925
334,12,0.01,symmetric,0.4374911599474196,0.925
226,8,0.9099999999999999,0.31,0.437435601668405,0.925
384,13,symmetric,symmetric,0.4523573572238574,0.9230769230769231
372,13,0.61,0.61,0.4474808781393794,0.9230769230769231
385,13,asymmetric,0.01,0.44298141305630756,0.9230769230769231
535,18,asymmetric,0.01,0.44072843923802235,0.9222222222222223
530,18,symmetric,0.01,0.43522457548162585,0.9222222222222223
262,9,symmetric,0.61,0.42374839451584256,0.9222222222222223
510,18,0.01,0.01,0.43285748491810266,0.9222222222222223
514,18,0.01,symmetric,0.43549601857808334,0.9222222222222223
260,9,symmetric,0.01,0.43278964726842317,0.9222222222222223
256,9,0.9099999999999999,0.31,0.42587694220549444,0.9222222222222223
539,18,asymmetric,symmetric,0.44616734596075097,0.9222222222222223
251,9,0.61,0.31,0.41615294155827554,0.9222222222222223
248,9,0.31,0.9099999999999999,0.4167287436757988,0.9222222222222223
527,18,0.9099999999999999,0.61,0.44707890232547737,0.9222222222222223
246,9,0.31,0.31,0.4282966266346035,0.9222222222222223
242,9,0.01,0.61,0.4280709970497776,0.9222222222222223
410,14,symmetric,0.01,0.44447167702630896,0.9214285714285714
413,14,symmetric,0.9099999999999999,0.4264282559857531,0.9214285714285714
399,14,0.31,symmetric,0.4265680538707537,0.9214285714285714
398,14,0.31,0.9099999999999999,0.45795652702792833,0.9214285714285714
409,14,0.9099999999999999,symmetric,0.44421214229666184,0.9214285714285714
392,14,0.01,0.61,0.4570713015097742,0.9214285714285714
391,14,0.01,0.31,0.44937889279106696,0.9214285714285714
390,14,0.01,0.01,0.4422432238674653,0.9214285714285714
569,19,asymmetric,symmetric,0.4290759626069999,0.9210526315789473
555,19,0.9099999999999999,0.01,0.4432459049064176,0.9210526315789473
558,19,0.9099999999999999,0.9099999999999999,0.46270094923301136,0.9210526315789473
566,19,asymmetric,0.31,0.44494268888830035,0.9210526315789473
551,19,0.61,0.31,0.4344197477051448,0.9210526315789473
582,20,0.61,0.61,0.4530489911870842,0.92
587,20,0.9099999999999999,0.61,0.4356733274303558,0.92
443,15,symmetric,0.9099999999999999,0.43654546240188485,0.92
588,20,0.9099999999999999,0.9099999999999999,0.46851061434280233,0.92
590,20,symmetric,0.01,0.4247804187338338,0.92
133,5,0.61,0.9099999999999999,0.38889377856329466,0.92
126,5,0.31,0.31,0.38065542094296545,0.92
272,10,0.01,0.61,0.4024804964501471,0.92
583,20,0.61,0.9099999999999999,0.4549053236845638,0.92
435,15,0.9099999999999999,0.01,0.42067921694122723,0.92
