Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
11,0.01,symmetric,0.3573857435841351,0.9545454545454546,0.3411409370575835
8,asymmetric,0.01,0.35432826888684604,0.9625,0.3410409588035893
5,0.31,0.61,0.36280806957604705,0.94,0.3410395854014842
5,0.31,0.9099999999999999,0.36280806957604705,0.94,0.3410395854014842
11,asymmetric,symmetric,0.350432473080794,0.9727272727272728,0.34087522381495416
9,symmetric,0.9099999999999999,0.36948799629494594,0.9222222222222223,0.3407500410275613
5,symmetric,0.9099999999999999,0.36224902729572883,0.94,0.3405140856579851
9,0.31,0.01,0.3604967333874384,0.9444444444444444,0.34046913708813625
4,0.01,symmetric,0.36788867038708606,0.925,0.3402970201080546
4,symmetric,0.31,0.36788867038708606,0.925,0.3402970201080546
4,symmetric,symmetric,0.36788867038708606,0.925,0.3402970201080546
4,0.01,0.31,0.36788867038708595,0.925,0.3402970201080545
6,asymmetric,symmetric,0.3645326294136497,0.9333333333333333,0.3402304541194064
5,0.9099999999999999,symmetric,0.3618947827357176,0.94,0.34018109577157457
8,0.9099999999999999,0.9099999999999999,0.3580116444440298,0.95,0.3401110622218283
4,0.61,0.61,0.36767089920209567,0.925,0.3400955817619385
9,0.9099999999999999,symmetric,0.36865998423525764,0.9222222222222223,0.3399864299058487
9,0.31,symmetric,0.35962599690343944,0.9444444444444444,0.33964677485324835
9,asymmetric,0.9099999999999999,0.3637303853399007,0.9333333333333333,0.33948169298390735
10,symmetric,symmetric,0.34986329700729124,0.97,0.3393673980970725
5,asymmetric,symmetric,0.3609575715431435,0.94,0.33930011725055487
2,0.01,0.9099999999999999,0.33920769791562505,1.0,0.33920769791562505
2,asymmetric,0.61,0.339207697915625,1.0,0.339207697915625
2,0.01,symmetric,0.339207697915625,1.0,0.339207697915625
2,0.01,0.61,0.339207697915625,1.0,0.339207697915625
2,asymmetric,0.9099999999999999,0.339207697915625,1.0,0.339207697915625
2,asymmetric,symmetric,0.339207697915625,1.0,0.339207697915625
4,0.9099999999999999,0.61,0.3664538547420474,0.925,0.33896981563639383
14,asymmetric,0.01,0.35414138842412246,0.9571428571428572,0.3389639003488029
5,0.01,0.9099999999999999,0.36035036128000464,0.94,0.33872933960320434
4,0.9099999999999999,0.31,0.3659743952955024,0.925,0.33852631564833974
4,0.9099999999999999,symmetric,0.3659743952955024,0.925,0.33852631564833974
9,0.01,0.9099999999999999,0.37106101904866756,0.9111111111111111,0.33807781735545267
11,0.01,0.01,0.35080423619114176,0.9636363636363636,0.33804771851146387
14,0.61,0.01,0.36960457068953734,0.9142857142857143,0.3379241789161484
11,0.31,0.01,0.3473627753931368,0.9727272727272728,0.3378892451551422
10,0.9099999999999999,symmetric,0.35168496895171414,0.96,0.3376175701936456
10,0.61,0.61,0.3512678196267932,0.96,0.33721710684172146
9,0.61,0.9099999999999999,0.36562488304467666,0.9222222222222223,0.33718739214120186
10,0.31,0.01,0.347414576550974,0.97,0.33699213925444477
5,0.01,0.61,0.35827788048434395,0.94,0.3367812076552833
18,symmetric,symmetric,0.3651392008886961,0.9222222222222223,0.33673948526401976
14,0.31,0.01,0.35704536801381376,0.9428571428571428,0.3366427755558815
10,0.9099999999999999,0.01,0.3505700756612189,0.96,0.33654727263477013
3,0.9099999999999999,0.9099999999999999,0.3365330632806791,1.0,0.3365330632806791
3,0.61,0.9099999999999999,0.3365330632806791,1.0,0.3365330632806791
