Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
11,symmetric,0.31,0.3680792364300022,0.9454545454545454,0.3480021871701839
16,asymmetric,0.9099999999999999,0.3786788839940378,0.91875,0.34791122466952223
18,0.01,0.61,0.38393566150005903,0.9055555555555556,0.3476750712472757
12,0.31,0.9099999999999999,0.37580612460454593,0.925,0.347620665259205
12,0.31,0.31,0.3756515049337414,0.925,0.3474776420637108
11,0.31,0.01,0.36047392320029686,0.9636363636363636,0.3473657805384679
11,symmetric,0.9099999999999999,0.3780000364453912,0.9181818181818182,0.34707276073622284
18,0.01,symmetric,0.3832341688262365,0.9055555555555556,0.34703983065931415
12,0.61,0.9099999999999999,0.37178048538249864,0.9333333333333333,0.3469951196903321
17,0.61,0.61,0.36840474828311864,0.9411764705882353,0.34673388073705286
18,symmetric,symmetric,0.382868506408087,0.9055555555555556,0.34670870302510104
19,0.01,0.31,0.3894901603582078,0.8894736842105263,0.3464412478975638
8,0.31,0.9099999999999999,0.39571776192145314,0.875,0.34625304168127147
9,asymmetric,0.01,0.3751856982675826,0.9222222222222223,0.3460045884023262
16,0.9099999999999999,0.01,0.3790225714404105,0.9125,0.3458580964393746
9,symmetric,symmetric,0.38419773384298694,0.9,0.34577796045868825
11,0.31,0.9099999999999999,0.36558374729709425,0.9454545454545454,0.34564281562634364
17,0.61,0.9099999999999999,0.37415054709994167,0.9235294117647059,0.345539034674652
17,0.9099999999999999,symmetric,0.37414021131930925,0.9235294117647059,0.3455294892772444
17,0.9099999999999999,0.61,0.37168306616337643,0.9294117647058824,0.34544661443419694
12,symmetric,0.9099999999999999,0.37340359279487645,0.925,0.3453983233352607
17,0.31,0.9099999999999999,0.3716177551583302,0.9294117647058824,0.3453859136177422
12,symmetric,0.61,0.37677191903923185,0.9166666666666666,0.34537425911929587
18,0.01,0.31,0.38130331923956157,0.9055555555555556,0.34529133908915854
8,asymmetric,symmetric,0.3782675426774339,0.9125,0.3451691326931584
13,0.31,0.61,0.37050794277443944,0.9307692307692308,0.3448573928900552
17,asymmetric,symmetric,0.3756161724055941,0.9176470588235294,0.34468307585454516
19,asymmetric,0.31,0.39689729148705477,0.868421052631579,0.34467396365981073
12,symmetric,symmetric,0.3758718006569656,0.9166666666666666,0.34454915060221847
10,0.9099999999999999,0.61,0.37045142616662885,0.93,0.34451982633496486
18,symmetric,0.31,0.3827763308584285,0.9,0.3444986977725856
13,0.01,0.9099999999999999,0.37007336046231826,0.9307692307692308,0.34445289704569626
11,0.9099999999999999,0.9099999999999999,0.36761330693580857,0.9363636363636364,0.34421973285807533
11,0.01,0.9099999999999999,0.3748621830197536,0.9181818181818182,0.3441916407726829
17,0.61,symmetric,0.37262071995627416,0.9235294117647059,0.3441261943125591
17,0.61,0.01,0.37024169279779534,0.9294117647058824,0.34410698507089216
18,0.01,0.01,0.3845878243911265,0.8944444444444445,0.3439924429276187
8,asymmetric,0.61,0.3768748628473733,0.9125,0.34389831234822815
11,0.01,symmetric,0.36352991898976,0.9454545454545454,0.34370101431759126
12,0.01,0.31,0.37156819234802163,0.925,0.34370057792192005
17,asymmetric,0.61,0.3816769544278761,0.9,0.3435092589850885
10,asymmetric,0.61,0.36934210961771985,0.93,0.34348816194447945
16,0.61,0.9099999999999999,0.3738537622612053,0.91875,0.34347814407748234
11,0.61,0.01,0.349724260239096,0.9818181818181818,0.3433656373256579
18,0.61,0.9099999999999999,0.3984358094179257,0.8611111111111112,0.343097502554325
16,0.9099999999999999,0.61,0.38347495949806293,0.89375,0.3427307450513938
13,0.61,0.9099999999999999,0.3681556161167976,0.9307692307692308,0.3426679196164039
13,asymmetric,0.9099999999999999,0.36513178383894745,0.9384615384615385,0.34266213560270453
16,0.9099999999999999,symmetric,0.3778771653491216,0.90625,0.34245118109764144
12,0.31,0.61,0.3734194948237047,0.9166666666666666,0.34230120358839594
13,asymmetric,0.31,0.37381476186093765,0.9153846153846154,0.34218428201116596
13,asymmetric,0.61,0.37068188260623514,0.9230769230769231,0.3421678916365248
17,symmetric,0.9099999999999999,0.38012271796412606,0.9,0.34211044616771347
13,0.31,0.9099999999999999,0.37060935594498545,0.9230769230769231,0.34210094394921736
10,asymmetric,0.9099999999999999,0.36757183414965877,0.93,0.34184180575918266
16,0.31,0.9099999999999999,0.36455756563975916,0.9375,0.3417727177872742
17,0.01,0.61,0.3745221787270991,0.9117647058823529,0.3414761041335315
18,symmetric,0.01,0.38397757980215336,0.8888888888888888,0.34131340426858076
11,0.9099999999999999,0.01,0.3575606058042794,0.9545454545454546,0.341307850994994
17,0.31,0.01,0.37672420195150835,0.9058823529411765,0.34126780647371935
16,0.61,symmetric,0.38173260060497344,0.89375,0.34117351179069505
17,symmetric,symmetric,0.37142205739708034,0.9176470588235294,0.3408343585526149
12,0.9099999999999999,0.01,0.36842569047099066,0.925,0.3407937636856664
17,symmetric,0.61,0.37360073616252304,0.9117647058823529,0.34063596532465334
4,asymmetric,0.61,0.3584313876990672,0.95,0.3405098183141138
4,asymmetric,0.9099999999999999,0.3584313876990672,0.95,0.3405098183141138
11,0.31,0.61,0.3635949642893456,0.9363636363636364,0.3404571029254782
13,0.9099999999999999,0.01,0.3569095055172341,0.9538461538461539,0.3404367591087464
16,0.61,0.31,0.38354943007520176,0.8875,0.34040011919174157
14,0.9099999999999999,0.9099999999999999,0.358205073688297,0.95,0.34029482000388217
9,asymmetric,symmetric,0.3734741818791969,0.9111111111111111,0.3402764768232683
17,0.01,0.9099999999999999,0.3777413871612756,0.9,0.33996724844514803
12,0.61,0.61,0.3706518079177474,0.9166666666666666,0.3397641572579351
13,symmetric,0.9099999999999999,0.3678173008560136,0.9230769230769231,0.33952366232862796
12,symmetric,0.31,0.37365503790270505,0.9083333333333333,0.3394033260949571
12,0.9099999999999999,0.61,0.3668049178704607,0.925,0.3392945490301762
18,asymmetric,0.01,0.38887190641526426,0.8722222222222222,0.3391827183733138
16,0.01,0.61,0.3664835706110682,0.925,0.3389973028152381
11,0.01,0.01,0.3619672337562459,0.9363636363636364,0.3389329552444848
12,0.01,0.61,0.37293586826195013,0.9083333333333333,0.338750080337938
12,0.01,0.9099999999999999,0.3728818535987281,0.9083333333333333,0.3387010170188447
20,0.61,0.01,0.371981491853896,0.91,0.33850315758704536
11,asymmetric,0.61,0.37560104865092986,0.9,0.3380409437858369
12,0.61,0.01,0.3651866698765365,0.925,0.33779766963579627
11,symmetric,0.61,0.37144082174660425,0.9090909090909091,0.33767347431509476
8,asymmetric,0.9099999999999999,0.3804568240340124,0.8875,0.33765543133018594
17,0.01,symmetric,0.370230130691185,0.9117647058823529,0.33756276621843334
5,asymmetric,0.01,0.35877019569284246,0.94,0.3372439839512719
13,0.61,0.61,0.3651412950684969,0.9230769230769231,0.33705350314015103
12,0.9099999999999999,0.9099999999999999,0.36436476852964716,0.925,0.3370374108899236
17,0.31,0.61,0.37169330620964136,0.9058823529411765,0.33671040680167513
17,0.9099999999999999,0.31,0.3716602598087221,0.9058823529411765,0.33668047065025414
16,asymmetric,0.61,0.36862259000181097,0.9125,0.3363681133766525
20,0.61,symmetric,0.3714647659272462,0.905,0.33617561316415784
20,0.31,0.01,0.3653957076723445,0.92,0.33616405105855696
15,asymmetric,symmetric,0.36006398656015837,0.9333333333333333,0.33605972078948115
16,asymmetric,0.31,0.3682085148255766,0.9125,0.3359902697783386
5,0.9099999999999999,0.9099999999999999,0.35731736588097734,0.94,0.33587832392811867
16,0.31,0.61,0.3631107271360282,0.925,0.3358774226008261
17,symmetric,0.01,0.3730865373216133,0.9,0.335777883589452
17,0.31,symmetric,0.37527449404797814,0.8941176470588236,0.3355395476193687
16,0.01,0.9099999999999999,0.36489683176667687,0.91875,0.3352489641856344
16,symmetric,0.31,0.3622161796468093,0.925,0.33504996617329863
19,0.01,0.01,0.3786415549248366,0.8842105263157894,0.33479884856511866
5,0.9099999999999999,0.61,0.3557655480469113,0.94,0.3344196151640966
17,symmetric,0.31,0.3711942207485979,0.9,0.3340747986737381
12,0.9099999999999999,symmetric,0.36768213725400506,0.9083333333333333,0.3339779413390546
4,asymmetric,0.01,0.351547902802301,0.95,0.33397050766218594
4,asymmetric,0.31,0.351547902802301,0.95,0.33397050766218594
4,asymmetric,symmetric,0.351547902802301,0.95,0.33397050766218594
20,0.01,0.9099999999999999,0.36098163545973416,0.925,0.3339080128002541
16,0.61,0.01,0.3812255270113537,0.875,0.3335723361349345
12,0.61,0.31,0.370535690905551,0.9,0.3334821218149959
16,0.9099999999999999,0.31,0.38657988650115227,0.8625,0.3334251521072438
19,symmetric,symmetric,0.38162953372086644,0.8736842105263158,0.33342369788244125
17,0.01,0.01,0.37044169544280825,0.9,0.33339752589852745
20,0.9099999999999999,0.31,0.36635611962778175,0.91,0.3333840688612814
20,0.31,symmetric,0.3683655084260663,0.905,0.33337078512559
14,symmetric,0.9099999999999999,0.35900757540315115,0.9285714285714286,0.33336417716006894
16,0.61,0.61,0.37796523228858914,0.88125,0.3330818609543192
15,0.01,0.31,0.3594387597037747,0.9266666666666666,0.33307991732549785
19,symmetric,0.01,0.38334276038500203,0.868421052631579,0.3329029234922386
16,asymmetric,symmetric,0.3646456304781147,0.9125,0.3327391378112797
19,0.9099999999999999,0.61,0.39502871523078587,0.8421052631578947,0.33265576019434595
17,0.31,0.31,0.3719948626561307,0.8941176470588236,0.3326071713160698
18,0.31,0.9099999999999999,0.3887452125333686,0.8555555555555555,0.33259312627854865
11,0.31,symmetric,0.3586750455670272,0.9272727272727272,0.332589587707607
16,symmetric,0.9099999999999999,0.36692824004225666,0.90625,0.3325287175382951
16,symmetric,0.61,0.3642698214404582,0.9125,0.3323962120644181
4,symmetric,0.61,0.349880115466178,0.95,0.3323861096928691
4,0.31,0.61,0.349880115466178,0.95,0.3323861096928691
4,0.01,0.9099999999999999,0.349880115466178,0.95,0.3323861096928691
4,0.31,0.9099999999999999,0.3498801154661779,0.95,0.332386109692869
4,0.01,0.61,0.3498801154661779,0.95,0.332386109692869
4,symmetric,0.9099999999999999,0.3498801154661779,0.95,0.332386109692869
11,0.01,0.61,0.36924462175898737,0.9,0.33232015958308864
13,symmetric,0.61,0.36302944489604955,0.9153846153846154,0.3323115687894607
13,0.31,symmetric,0.3599647948740571,0.9230769230769231,0.3322751952683604
15,0.01,0.01,0.35820967775139845,0.9266666666666666,0.3319409680496292
12,0.61,symmetric,0.3654012712380195,0.9083333333333333,0.3319061547078677
19,0.61,0.9099999999999999,0.4042334503753162,0.8210526315789474,0.33189693820289123
4,0.61,0.9099999999999999,0.3493566856351455,0.95,0.3318888513533882
11,0.9099999999999999,symmetric,0.35436727661170253,0.9363636363636364,0.3318166317364124
15,0.01,0.61,0.35806445265737535,0.9266666666666666,0.33180639279583446
11,0.9099999999999999,0.31,0.35758592983972287,0.9272727272727272,0.33157968039683394
13,0.61,symmetric,0.3561671463132133,0.9307692307692308,0.3315094207992216
17,0.61,0.31,0.37314409148435557,0.888235294117647,0.3314397518478687
20,0.31,0.31,0.36615558208093446,0.905,0.3313708017832457
15,symmetric,0.31,0.3601766878728571,0.92,0.33136255284302857
4,0.9099999999999999,0.01,0.3487035698232797,0.95,0.3312683913321157
4,0.9099999999999999,symmetric,0.34870356982327966,0.95,0.33126839133211566
4,0.9099999999999999,0.61,0.34870356982327966,0.95,0.33126839133211566
4,0.9099999999999999,0.31,0.34870356982327966,0.95,0.33126839133211566
20,asymmetric,0.31,0.36995400912337256,0.895,0.3311088381654185
13,0.61,0.01,0.3555186223535045,0.9307692307692308,0.33090579465210807
14,0.9099999999999999,0.61,0.35633394057099477,0.9285714285714286,0.33088151624449513
4,symmetric,0.31,0.34819138711695297,0.95,0.3307818177611053
4,symmetric,symmetric,0.34819138711695297,0.95,0.3307818177611053
4,0.31,0.31,0.34819138711695297,0.95,0.3307818177611053
4,0.31,symmetric,0.3481913871169529,0.95,0.33078181776110527
5,asymmetric,0.61,0.3593550131879299,0.92,0.3306066121328955
4,0.31,0.01,0.34781448591198544,0.95,0.33042376161638615
20,asymmetric,0.61,0.37125750890275505,0.89,0.330419182923452
17,asymmetric,0.31,0.3769392107971612,0.8764705882352941,0.3303761318163354
13,0.9099999999999999,symmetric,0.35494344756735674,0.9307692307692308,0.33037043965884744
4,0.61,0.61,0.3476679572859205,0.95,0.33028455942162444
20,0.9099999999999999,0.61,0.36883383383239293,0.895,0.3301062812799917
